Title,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%
177,54.0,56.0,21.0,0.0,32.0,9.0,1.0,1.0,0.871,0.767,0.115,0.0,0.561,0.083,0.006,0.024
178,56.0,59.0,12.0,0.0,33.0,8.0,1.0,0.0,0.903,0.808,0.066,0.0,0.579,0.074,0.006,0.0
179,52.0,52.0,13.0,1.0,33.0,8.0,9.0,1.0,0.839,0.712,0.071,0.014,0.579,0.074,0.058,0.024
180,57.0,57.0,147.0,0.0,33.0,16.0,1.0,0.0,0.919,0.781,0.808,0.0,0.579,0.148,0.006,0.0
181,54.0,57.0,147.0,0.0,31.0,8.0,0.0,0.0,0.871,0.781,0.808,0.0,0.544,0.074,0.0,0.0
182,55.0,59.0,17.0,0.0,32.0,8.0,1.0,0.0,0.887,0.808,0.093,0.0,0.561,0.074,0.006,0.0
183,57.0,59.0,148.0,0.0,34.0,8.0,3.0,0.0,0.919,0.808,0.813,0.0,0.596,0.074,0.019,0.0
184,57.0,59.0,147.0,1.0,34.0,7.0,4.0,0.0,0.919,0.808,0.808,0.014,0.596,0.065,0.026,0.0
185,2.0,0.0,2.0,64.0,13.0,3.0,2.0,34.0,0.032,0.0,0.011,0.865,0.228,0.028,0.013,0.829
186,56.0,59.0,145.0,0.0,32.0,8.0,2.0,1.0,0.903,0.808,0.797,0.0,0.561,0.074,0.013,0.024
187,56.0,59.0,19.0,0.0,34.0,7.0,1.0,0.0,0.903,0.808,0.104,0.0,0.596,0.065,0.006,0.0
188,54.0,58.0,9.0,0.0,34.0,1.0,0.0,0.0,0.871,0.795,0.049,0.0,0.596,0.009,0.0,0.0
189,8.0,0.0,141.0,0.0,26.0,8.0,7.0,1.0,0.129,0.0,0.775,0.0,0.456,0.074,0.045,0.024
190,51.0,58.0,143.0,0.0,16.0,11.0,1.0,0.0,0.823,0.795,0.786,0.0,0.281,0.102,0.006,0.0
191,53.0,59.0,148.0,5.0,24.0,44.0,127.0,2.0,0.855,0.808,0.813,0.068,0.421,0.407,0.825,0.049
192,51.0,59.0,145.0,4.0,25.0,25.0,11.0,1.0,0.823,0.808,0.797,0.054,0.439,0.231,0.071,0.024
193,53.0,27.0,147.0,66.0,28.0,47.0,125.0,32.0,0.855,0.37,0.808,0.892,0.491,0.435,0.812,0.78
194,53.0,58.0,141.0,0.0,33.0,4.0,0.0,0.0,0.855,0.795,0.775,0.0,0.579,0.037,0.0,0.0
195,10.0,58.0,147.0,4.0,39.0,20.0,3.0,1.0,0.161,0.795,0.808,0.054,0.684,0.185,0.019,0.024
196,18.0,0.0,143.0,0.0,9.0,15.0,3.0,1.0,0.29,0.0,0.786,0.0,0.158,0.139,0.019,0.024
197,56.0,57.0,18.0,4.0,41.0,10.0,6.0,1.0,0.903,0.781,0.099,0.054,0.719,0.093,0.039,0.024
198,21.0,59.0,144.0,2.0,16.0,77.0,127.0,1.0,0.339,0.808,0.791,0.027,0.281,0.713,0.825,0.024
199,7.0,1.0,144.0,61.0,15.0,77.0,121.0,34.0,0.113,0.014,0.791,0.824,0.263,0.713,0.786,0.829
200,53.0,59.0,16.0,0.0,33.0,2.0,1.0,0.0,0.855,0.808,0.088,0.0,0.579,0.019,0.006,0.0
201,55.0,59.0,16.0,0.0,34.0,9.0,1.0,1.0,0.887,0.808,0.088,0.0,0.596,0.083,0.006,0.024
202,13.0,19.0,143.0,4.0,37.0,70.0,1.0,0.0,0.21,0.26,0.786,0.054,0.649,0.648,0.006,0.0
203,6.0,1.0,135.0,63.0,16.0,72.0,115.0,34.0,0.097,0.014,0.742,0.851,0.281,0.667,0.747,0.829
204,52.0,56.0,141.0,4.0,41.0,77.0,10.0,1.0,0.839,0.767,0.775,0.054,0.719,0.713,0.065,0.024
